condition,total_tokens,valid_tokens,acc_normal,acc_variant,acc_normal_pct,acc_variant_pct,c2c,c2w,w2c,w2w,c2c_pct,c2w_pct,w2c_pct,w2w_pct,net_acc_delta_pct
zero,38805,32613,9702,8385,29.7489,25.7106,7843,1859,542,22369,24.0487,5.7002,1.6619,68.5892,-4.0383
random,38805,32613,9702,8727,29.7489,26.7593,8172,1530,555,22356,25.0575,4.6914,1.7018,68.5494,-2.9896
