bin_left,bin_right,count,gate_mean,gate_std,gate_p10,gate_p50,gate_p90,low_gate_frac,high_gate_frac
0.0,0.02,16516,0.529651,0.062966,0.455567,0.526094,0.605450,0.000000,0.000787
0.02,0.05,3427,0.517006,0.071865,0.427670,0.516421,0.601177,0.000000,0.000000
0.05,0.1,1496,0.511900,0.074080,0.418481,0.514251,0.598506,0.000000,0.000000
0.1,0.2,945,0.505292,0.079362,0.407507,0.504077,0.603461,0.000000,0.001058
0.2,0.4,511,0.509761,0.078506,0.409511,0.502726,0.608872,0.000000,0.000000
0.4,1.01,9718,0.745243,0.102949,0.586005,0.801117,0.835749,0.000000,0.506689
