bin_left,bin_right,count,gate_mean,gate_std,gate_p10,gate_p50,gate_p90,low_gate_frac,high_gate_frac
0.0,0.02,826386,0.139939,0.034134,0.098436,0.137405,0.181702,0.956668,0.000000
0.02,0.05,25629,0.142787,0.057018,0.081811,0.138860,0.200274,0.898552,0.000000
0.05,0.1,10078,0.133287,0.086481,0.050979,0.123830,0.206285,0.889363,0.000000
0.1,0.2,12277,0.129046,0.098074,0.023727,0.111738,0.209809,0.885721,0.000000
0.2,0.4,24424,0.120406,0.093251,0.018912,0.101776,0.199285,0.901818,0.000000
0.4,1.01,682890,0.076613,0.059730,0.020118,0.064399,0.155633,0.979238,0.000000
