condition,total_tokens,valid_tokens,acc_normal,acc_variant,acc_normal_pct,acc_variant_pct,c2c,c2w,w2c,w2w,c2c_pct,c2w_pct,w2c_pct,w2w_pct,net_acc_delta_pct
zero,1582560,1581684,530773,471433,33.5575,29.8058,435003,95770,36430,1014481,27.5025,6.0549,2.3032,64.1393,-3.7517
random,1582560,1581684,530773,461473,33.5575,29.1761,426851,103922,34622,1016289,26.9871,6.5703,2.1889,64.2536,-4.3814
