bin_left,bin_right,count,cos_mean,cos_w2c_mean,cos_c2w_mean,dmargin_mean
0.0,0.02,16155,-0.000493,-0.004479,0.000329,-1.496741
0.02,0.05,2352,-0.001614,-0.005028,0.000231,-4.869518
0.05,0.1,1441,-0.001768,-0.007447,0.000455,-4.594673
0.1,0.2,1010,-0.002308,-0.027567,0.000738,-6.675868
0.2,0.4,759,-0.001525,-0.011576,0.002781,-4.608493
0.4,1.01,10896,-0.010378,-0.014339,0.010473,-1.628629
