bin_left,bin_right,count,cos_mean,cos_w2c_mean,cos_c2w_mean,dmargin_mean
0.0,0.02,243607,-0.008136,-0.027084,0.002951,-2.304187
0.02,0.05,206422,-0.008015,-0.026429,0.004826,-2.239086
0.05,0.1,176594,-0.007845,-0.023052,0.005770,-2.176052
0.1,0.2,149330,-0.007370,-0.020046,0.007273,-2.024014
0.2,0.4,101780,-0.005846,-0.018048,0.009441,-1.624708
0.4,1.01,703951,0.002686,-0.021253,0.017643,0.913262
