token_id,count,acc
1,24,0.0
2,7,0.0
3,21,0.0
4,21,0.0
5,5,0.0
6,24,0.0
7,4,0.0
8,1,0.0
9,7,0.0
10,23,0.0
11,9,0.0
12,1,0.0
13,23,0.0
14,2,0.0
15,8,0.0
16,106,0.29245283018867924
17,5,0.0
18,50,0.16
19,3,0.0
20,31,0.0
22,28,0.0
23,36,0.027777777777777776
24,1,0.0
25,7,0.0
26,24,0.0
27,4,0.0
28,23,0.0
29,19,0.0
30,5,0.0
32,7,0.0
33,1,0.0
34,15,0.0
36,23,0.0
38,1,0.0
39,13,0.0
41,12,0.0
42,5,0.0
44,17,0.0
45,1,0.0
46,5,0.0
47,4,0.0
48,19,0.0
49,1,0.0
50,27,0.0
51,2,0.0
52,11,0.0
53,15,0.0
54,1,0.0
55,40,0.0
57,15,0.0
58,10,0.0
59,6,0.0
62,25,0.0
63,19,0.0
64,5,0.0
65,20,0.0
67,9,0.0
68,5,0.0
69,5,0.0
70,3,0.0
72,7,0.0
73,19,0.0
74,10,0.0
75,11,0.0
76,16,0.0
78,3,0.0
79,15,0.0
81,11,0.0
82,5,0.0
83,15,0.0
84,11,0.0
85,17,0.058823529411764705
86,3,0.0
87,4,0.0
88,20,0.0
91,6,0.0
92,15,0.0
93,17,0.0
94,1,0.0
95,16,0.0
96,2,0.0
98,13,0.0
101,5,0.0
102,21,0.0
103,3,0.0
104,5,0.0
105,34,0.0
106,16,0.0
107,26,0.0
108,7,0.0
109,13,0.0
110,17,0.0
112,34,0.029411764705882353
113,16,0.0
115,9,0.0
116,33,0.0
117,28,0.0
120,5,0.0
121,7,0.0
122,2,0.0
123,24,0.0
124,20,0.0
125,21,0.0
126,10,0.0
127,14,0.0
128,9,0.0
129,12,0.0
131,10,0.0
132,17,0.0
134,11,0.0
135,1,0.0
136,6,0.0
137,6,0.0
138,13,0.0
140,3,0.0
141,1,0.0
142,27,0.0
143,20,0.05
146,6,0.0
147,13,0.0
148,9,0.0
149,3,0.0
150,3,0.0
151,14,0.0
152,18,0.0
153,7,0.0
154,38,0.0
155,7,0.0
156,64,0.0
157,10,0.0
158,31,0.0
159,30,0.36666666666666664
164,5,0.0
165,115,0.20869565217391303
166,15,0.0
167,1,0.0
169,2,0.0
170,1,0.0
172,4,0.0
173,7,0.0
175,23,0.0
176,13,0.0
178,13,0.0
179,23,0.0
180,5,0.0
181,5,0.0
182,10,0.0
183,23,0.0
184,30,0.06666666666666667
185,11,0.0
186,11,0.0
187,37,0.0
189,2,0.0
190,2,0.0
191,30,0.0
192,12,0.0
195,1,0.0
196,7,0.0
197,17,0.0
198,8,0.0
200,26,0.0
201,4,0.0
202,47,0.5106382978723404
203,30,0.0
204,5,0.0
205,22,0.0
206,4,0.0
208,7,0.0
209,15,0.0
210,8,0.0
211,43,0.4186046511627907
212,5,0.0
213,16,0.0
214,37,0.0
215,25,0.0
216,2,0.0
217,37,0.0
218,12,0.0
219,16,0.0
220,5,0.0
221,20,0.0
222,37,0.0
224,75,0.7466666666666667
225,24,0.0
226,1,0.0
227,1,0.0
228,4,0.0
230,29,0.0
231,15,0.0
232,4,0.0
233,4,0.0
234,10,0.0
235,2,0.0
236,12,0.0
239,22,0.0
241,6,0.0
243,6,0.0
244,131,0.0916030534351145
245,2,0.0
246,1,0.0
248,24,0.0
249,2,0.0
250,2,0.0
252,33,0.0
253,20,0.0
254,2,0.0
256,2,0.0
257,17,0.0
258,11,0.0
260,19,0.0
261,4,0.0
262,2,0.0
263,6,0.0
264,2,0.0
265,6,0.0
267,38,0.42105263157894735
268,24,0.0
269,41,0.0
270,15,0.0
271,12,0.0
272,3,0.0
273,4,0.0
274,15,0.0
275,1,0.0
276,19,0.0
277,8,0.0
279,2,0.0
280,6,0.0
281,68,0.0
282,8,0.0
285,1,0.0
286,9,0.0
288,54,0.0
289,26,0.0
290,7,0.0
291,15,0.0
292,8,0.0
293,11,0.0
294,7,0.0
295,4,0.0
296,10,0.0
297,28,0.0
298,18,0.0
299,4,0.0
300,12,0.0
302,21,0.0
303,22,0.0
304,5,0.0
305,1,0.0
306,7,0.0
308,27,0.0
309,6,0.0
310,5,0.0
311,91,0.18681318681318682
312,16,0.0
314,8,0.0
315,24,0.0
317,6,0.0
318,10,0.0
319,31,0.0
320,22,0.0
321,22,0.0
323,1,0.0
324,12,0.0
325,29,0.0
326,29,0.0
328,33,0.0
329,6,0.0
330,16,0.0
332,8,0.0
333,13,0.0
334,1,0.0
335,41,0.0
336,2,0.0
338,4,0.0
339,13,0.0
340,4,0.0
341,27,0.0
343,22,0.0
344,23,0.0
345,3,0.0
346,2,0.0
347,8,0.0
348,13,0.0
349,15,0.0
350,4,0.0
352,29,0.0
354,12,0.0
355,2,0.0
356,17,0.0
357,16,0.0
359,17,0.0
360,3,0.0
361,18,0.0
362,51,0.0
363,19,0.0
364,19,0.0
366,1,0.0
367,14,0.0
368,18,0.0
370,18,0.0
371,12,0.0
372,38,0.0
373,10,0.0
374,10,0.0
375,9,0.0
376,23,0.0
377,8,0.0
379,7,0.0
380,2,0.0
381,1,0.0
382,7,0.0
383,10,0.0
384,11,0.0
385,13,0.0
386,7,0.0
387,3,0.0
388,16,0.0
389,6,0.0
390,24,0.0
391,5,0.0
392,2,0.0
393,13,0.23076923076923078
395,28,0.0
397,15,0.0
398,23,0.0
399,21,0.0
400,18,0.0
401,12,0.0
402,16,0.0
404,8,0.0
406,7,0.0
407,18,0.0
408,14,0.0
409,32,0.0
410,3,0.0
411,24,0.0
412,19,0.0
413,7,0.0
414,1,0.0
415,12,0.0
416,27,0.0
417,59,0.3389830508474576
419,2,0.0
420,13,0.0
422,14,0.0
424,9,0.0
425,17,0.0
426,22,0.0
428,28,0.0
429,26,0.0
430,14,0.0
432,6,0.0
433,18,0.0
434,12,0.0
436,11,0.0
438,10,0.0
439,32,0.0
440,48,0.0
441,14,0.0
442,2,0.0
443,30,0.0
444,2,0.0
446,20,0.0
448,5,0.0
450,13,0.0
452,10,0.0
453,9360,0.997008547008547
454,39,0.0
455,30,0.0
456,12,0.0
457,2,0.0
458,5,0.0
461,7,0.0
462,40,0.0
463,1,0.0
465,27,0.0
466,15,0.0
467,27,0.0
471,26,0.0
472,3,0.0
473,20,0.0
474,14,0.0
475,15,0.0
476,8,0.0
477,3,0.0
478,1,0.0
479,9,0.0
480,20,0.0
481,14,0.0
482,3,0.0
483,16,0.0
485,24,0.0
486,1,0.0
488,14,0.0
491,36,0.0
492,15,0.0
493,28,0.0
495,16,0.0
496,54,0.5555555555555556
497,6,0.0
498,7,0.0
499,3,0.0
500,10,0.0
501,17,0.0
502,18,0.0
503,33,0.0
504,32,0.0
505,8,0.0
506,20,0.0
507,15,0.0
508,6,0.0
509,2,0.0
510,39,0.0
511,1,0.0
512,11,0.0
513,1,0.0
514,34,0.0
515,6,0.0
517,1,0.0
518,14,0.0
519,41,0.0
520,23,0.0
521,20,0.0
522,14,0.0
524,15,0.0
525,36,0.0
527,8,0.0
528,2,0.0
529,16,0.0
530,2,0.0
