token_id,count,margin_on_mean,margin_off_mean,delta_margin_mean
1,24,0.023737042987098295,0.05024825253834327,3.618200143178304
2,7,0.020867726632526944,0.0147057729107993,1.4415765149252755
3,21,0.3201255344209217,0.3371204989297049,1.6142819722493489
4,21,0.033118770590850284,0.03400576895191556,3.828575225103469
5,5,0.0012447310611605645,0.011237644404172898,3.365206813812256
6,24,0.025061277284597356,0.04230853263288736,2.8098610242207847
7,4,0.014751959592103958,0.036873942241072655,1.9241420030593872
8,1,0.3594311475753784,0.6061493158340454,1.8283514976501465
9,7,0.027105894072779586,0.011681798047253064,0.376314605985369
10,23,0.03919917102093282,0.018928511797086052,3.042525934136432
11,9,0.01652055357893308,0.018405861945615873,2.748003270890978
12,1,0.01600906252861023,0.010849244892597198,0.5744500160217285
13,23,0.010495189091433649,0.02157280270172202,2.054480791091919
14,2,0.0020459750667214394,0.019469800405204296,4.586509108543396
15,8,0.008185253478586674,0.012484284117817879,3.0666189789772034
16,106,0.22807487451805258,0.15910157842456168,3.0347530436965653
17,5,0.006815392896533013,0.011543487757444381,3.5765844345092774
18,50,0.0468076004087925,0.017814171612262727,3.2098808670043946
19,3,0.014288006039957205,0.005278144031763077,3.9525124231974282
20,31,0.10724397772742857,0.1283665241733674,3.41534786839639
22,28,0.025720637491238967,0.02306594593184335,2.4374964918409074
23,36,0.13257749916778672,0.09642397157020038,5.639303088188171
24,1,0.010505223646759987,0.024595551192760468,5.094834804534912
25,7,0.006479715396250997,0.028433061071804593,2.4621124608176097
26,24,0.014940942948063215,0.033049652352929115,3.8593249917030334
27,4,0.012578058056533337,0.018842371180653572,3.3098779916763306
28,23,0.013934261610974436,0.03846450052831484,3.786256914553435
29,19,0.01928692654167351,0.00884694733509892,2.2694432986410042
30,5,0.008453360758721828,0.04986071884632111,3.2206200122833253
32,7,0.0050443364307284355,0.005157533101737499,3.8209767001015797
33,1,0.00968740414828062,0.0029263291507959366,2.9608707427978516
34,15,0.012726546948154767,0.011835284531116486,2.426588455835978
36,23,0.021140324923655262,0.02024859206184097,2.2003639262655508
38,1,0.06833107769489288,0.13494136929512024,3.6464176177978516
39,13,0.027067362832335327,0.028048370893184956,2.744017637692965
41,12,0.007964263437315822,0.03409884963184595,2.407416601975759
42,5,0.010095697082579135,0.009349323809146881,1.9234279155731202
44,17,0.16172153458875768,0.2110408728613573,2.734164237976074
45,1,0.016562312841415405,0.10687875747680664,2.5128726959228516
46,5,0.04023208916187286,0.015832559019327164,3.7022521018981935
47,4,0.011066109873354435,0.03218301944434643,3.1047393083572388
48,19,0.019149959871643467,0.016654059094818013,2.9289356532849764
49,1,0.006138594821095467,0.004989154636859894,2.6290762424468994
50,27,0.021207384627174447,0.026927827684967605,3.0856405893961587
51,2,0.0016145589761435986,0.03753269836306572,2.493070602416992
52,11,0.018301222812045704,0.03366051174022935,2.479073264382102
53,15,0.016524151215950647,0.022324793164928754,1.6917429288228354
54,1,0.010035879909992218,0.0034217387437820435,4.167258262634277
55,40,0.01932791108265519,0.031864292547106744,3.7511980175971984
57,15,0.02463579550385475,0.021138924981156985,3.5681028842926024
58,10,0.009861223306506873,0.011666987650096416,1.6429392576217652
59,6,0.054149414567897715,0.049682944702605404,2.13587220509847
62,25,0.022471148520708084,0.05668431960046291,3.2843921852111815
63,19,0.01553138963093883,0.02416570876774035,1.755388711628161
64,5,0.013676880300045014,0.009974981099367142,3.1630910873413085
65,20,0.017038080981001257,0.018629961367696523,2.0437241792678833
67,9,0.005660533594588439,0.018794986108938854,2.8734080526563854
68,5,0.3225392818450928,0.31967595815658567,2.9680155754089355
69,5,0.0067556887865066525,0.008408855274319648,1.933462429046631
70,3,0.019480790942907333,0.012114621698856354,3.521000862121582
72,7,0.6041110498564584,0.5099354641778129,0.8431554521833148
73,19,0.018127761879249624,0.024819888174533844,2.5809848434046696
74,10,0.013733992632478476,0.00884862020611763,2.372815465927124
75,11,0.04464166933162646,0.028235667808489365,1.0989075357263738
76,16,0.02073814207687974,0.01987366029061377,2.395277976989746
78,3,0.011552445590496063,0.044960789692898594,2.5916739304860434
79,15,0.009433486126363277,0.0199218121667703,2.333964729309082
81,11,0.011733266863633286,0.030302175066687843,2.5022495443170722
82,5,0.05777867063879967,0.024787236005067825,1.4493166923522949
83,15,0.0208943589280049,0.018240921944379807,1.5628520965576171
84,11,0.05650253322991458,0.039194635369560936,1.7251869981939143
85,17,0.021496860420002657,0.020743119585163453,2.708853048436782
86,3,0.006734548757473628,0.018370451405644417,2.925053278605143
87,4,0.01888431329280138,0.008893191814422607,1.7856411933898926
88,20,0.04202143028378487,0.025298114866018295,2.02273166179657
91,6,0.06279140602176388,0.09417359406749408,2.4897696574529014
92,15,0.01694176426778237,0.03947364961107572,3.5000160535176597
93,17,0.014488796703517437,0.019960724693887374,2.641531327191521
94,1,0.6824728846549988,0.6778159737586975,1.331352710723877
95,16,0.019029200077056885,0.055083079845644534,2.5854888558387756
96,2,0.002265011426061392,0.017017601057887077,2.4479422569274902
98,13,0.02990672243042634,0.08253498375415802,3.0681444131411038
101,5,0.008284911885857582,0.015006667375564576,3.445784568786621
102,21,0.025459752551146915,0.02769716509750911,2.5710921741667248
103,3,0.017419332017501194,0.040062536795934044,1.4539743264516194
104,5,0.018964366056025028,0.013760683685541153,2.879051113128662
105,34,0.039764955037218684,0.04574347418897292,2.8044677762424244
106,16,0.034950361819937825,0.03889053501188755,2.1840617060661316
107,26,0.02691346951402151,0.022085196840075347,2.8378342298360972
108,7,0.011992232607943671,0.017390594950744083,3.0770911829812184
109,13,0.05494329598374092,0.01711051997083884,2.674997036273663
110,17,0.013735947253949502,0.020330971873858395,2.014048969044405
112,34,0.03095288618522532,0.023221572970642763,1.8771151234121883
113,16,0.010631245328113437,0.0176092671463266,2.116640865802765
115,9,0.015853011049330235,0.021577875854240522,2.5737315813700357
116,33,0.046027406259919655,0.04382315684448589,2.2751097390145967
