token_id,count,acc
1,24,0.4166666666666667
2,7,0.0
3,21,0.38095238095238093
4,21,0.3333333333333333
5,5,0.0
6,24,0.20833333333333334
7,4,0.5
8,1,0.0
9,7,0.14285714285714285
10,23,0.13043478260869565
11,9,0.1111111111111111
12,1,0.0
13,23,0.21739130434782608
14,2,0.0
15,8,0.125
16,106,0.6226415094339622
17,5,0.0
18,50,0.38
19,3,0.0
20,31,0.22580645161290322
22,28,0.14285714285714285
23,36,0.4166666666666667
24,1,0.0
25,7,0.0
26,24,0.2916666666666667
27,4,0.0
28,23,0.21739130434782608
29,19,0.21052631578947367
30,5,0.0
32,7,0.0
33,1,0.0
34,15,0.13333333333333333
36,23,0.30434782608695654
38,1,0.0
39,13,0.15384615384615385
41,12,0.16666666666666666
42,5,0.0
44,17,0.23529411764705882
45,1,0.0
46,5,0.4
47,4,0.25
48,19,0.05263157894736842
49,1,0.0
50,27,0.2222222222222222
51,2,0.0
52,11,0.18181818181818182
53,15,0.3333333333333333
54,1,1.0
55,40,0.25
57,15,0.13333333333333333
58,10,0.1
59,6,0.16666666666666666
62,25,0.16
63,19,0.21052631578947367
64,5,0.2
65,20,0.25
67,9,0.0
68,5,0.0
69,5,0.2
70,3,0.3333333333333333
72,7,0.0
73,19,0.21052631578947367
74,10,0.1
75,11,0.09090909090909091
76,16,0.3125
78,3,0.3333333333333333
79,15,0.2
81,11,0.45454545454545453
82,5,0.0
83,15,0.26666666666666666
84,11,0.5454545454545454
85,17,0.23529411764705882
86,3,0.3333333333333333
87,4,0.0
88,20,0.15
91,6,0.16666666666666666
92,15,0.3333333333333333
93,17,0.17647058823529413
94,1,0.0
95,16,0.0625
96,2,0.0
98,13,0.23076923076923078
101,5,0.2
102,21,0.14285714285714285
103,3,0.3333333333333333
104,5,0.2
105,34,0.29411764705882354
106,16,0.25
107,26,0.23076923076923078
108,7,0.14285714285714285
109,13,0.3076923076923077
110,17,0.17647058823529413
112,34,0.35294117647058826
113,16,0.0625
115,9,0.0
116,33,0.30303030303030304
117,28,0.17857142857142858
120,5,0.2
121,7,0.0
122,2,0.0
123,24,0.20833333333333334
124,20,0.35
125,21,0.14285714285714285
126,10,0.2
127,14,0.21428571428571427
128,9,0.3333333333333333
129,12,0.08333333333333333
131,10,0.4
132,17,0.17647058823529413
134,11,0.36363636363636365
135,1,1.0
136,6,0.16666666666666666
137,6,0.16666666666666666
138,13,0.3076923076923077
140,3,0.0
141,1,0.0
142,27,0.37037037037037035
143,20,0.1
146,6,0.0
147,13,0.15384615384615385
148,9,0.2222222222222222
149,3,0.0
150,3,0.0
151,14,0.14285714285714285
152,18,0.16666666666666666
153,7,0.14285714285714285
154,38,0.2631578947368421
155,7,0.0
156,64,0.078125
157,10,0.3
158,31,0.16129032258064516
159,30,0.4
164,5,0.2
165,115,0.40869565217391307
166,15,0.2
167,1,0.0
169,2,0.0
170,1,0.0
172,4,0.25
173,7,0.14285714285714285
175,23,0.13043478260869565
176,13,0.07692307692307693
178,13,0.15384615384615385
179,23,0.17391304347826086
180,5,0.0
181,5,0.0
182,10,0.2
183,23,0.21739130434782608
184,30,0.23333333333333334
185,11,0.0
186,11,0.18181818181818182
187,37,0.1891891891891892
189,2,0.0
190,2,0.0
191,30,0.3
192,12,0.16666666666666666
195,1,1.0
196,7,0.2857142857142857
197,17,0.17647058823529413
198,8,0.0
200,26,0.19230769230769232
201,4,0.0
202,47,0.2978723404255319
203,30,0.2
204,5,0.0
205,22,0.18181818181818182
206,4,0.0
208,7,0.14285714285714285
209,15,0.13333333333333333
210,8,0.25
211,43,0.27906976744186046
212,5,0.0
213,16,0.3125
214,37,0.3783783783783784
215,25,0.2
216,2,0.0
217,37,0.10810810810810811
218,12,0.4166666666666667
219,16,0.4375
220,5,0.2
221,20,0.3
222,37,0.21621621621621623
224,75,0.8133333333333334
225,24,0.16666666666666666
226,1,0.0
227,1,0.0
