epoch,e1_net_delta,e2_mid_delta,e2_hi_delta,e3_mid_cos,e3_mid_dmargin
10,-0.2453,-3.9548,-0.0750,0.001103,0.058464
20,-1.7079,-7.0234,-1.3445,-0.004249,-0.194024
50,-6.4483,-31.2646,-1.6748,-0.002286,-0.235097
100,-9.0455,-20.2661,-8.9519,-0.006328,-0.800675
150,-10.8300,-11.3828,-14.0844,-0.010963,-1.656212
200,-12.6207,-10.8204,-15.6428,-0.010678,-1.828897
