bin_left,bin_right,count,gate_mean,gate_std,gate_p10,gate_p50,gate_p90,low_gate_frac,high_gate_frac
0.0,0.02,16707,0.415497,0.041047,0.362640,0.415977,0.467980,0.000000,0.000000
0.02,0.05,3300,0.419159,0.038963,0.368822,0.420601,0.468056,0.000000,0.000000
0.05,0.1,1471,0.422752,0.039242,0.371074,0.424078,0.472139,0.000000,0.000000
0.1,0.2,932,0.427846,0.037231,0.381530,0.425969,0.476321,0.000000,0.000000
0.2,0.4,514,0.437373,0.036139,0.383095,0.440002,0.481142,0.000000,0.000000
0.4,1.01,9689,0.420444,0.028556,0.386468,0.420366,0.457203,0.000000,0.000000
