bin_left,bin_right,count,gate_mean,gate_std,gate_p10,gate_p50,gate_p90,low_gate_frac,high_gate_frac
0.0,0.02,2961,0.537464,0.066661,0.461238,0.536024,0.610411,0.000000,0.006417
0.02,0.05,3129,0.536767,0.067164,0.462559,0.535694,0.610400,0.000000,0.007351
0.05,0.1,3413,0.534427,0.068967,0.456741,0.534863,0.607153,0.000000,0.007325
0.1,0.2,3912,0.532092,0.073338,0.448939,0.530831,0.608058,0.000000,0.010481
0.2,0.4,3784,0.526260,0.081068,0.433154,0.528016,0.606994,0.000264,0.012949
0.4,1.01,15414,0.774310,0.233155,0.454669,0.919151,0.991496,0.000000,0.568185
