bin_left,bin_right,condition,count,flip_rate,acc_norm_pct,acc_var_pct,delta_acc_pct,topk_overlap_mean,target_in_topk_norm_pct,target_in_topk_var_pct,delta_target_in_topk_pct
0.0,0.02,zero,402046,98.6479,0.7350,1.0113,0.2763,4.5887,3.0705,2.7002,-0.3704
0.02,0.05,zero,233174,97.9204,1.2463,1.9646,0.7183,5.9741,4.7184,4.6262,-0.0922
0.05,0.1,zero,145515,96.2980,2.5365,4.0133,1.4768,8.9130,8.2424,8.6507,0.4082
0.1,0.2,zero,93784,91.7203,6.5075,9.4483,2.9408,16.1552,17.3665,19.2666,1.9001
0.2,0.3,zero,36495,81.7482,15.6021,19.9068,4.3047,29.6528,36.0323,38.7094,2.6771
0.3,0.4,zero,22157,72.2074,25.6939,28.3658,2.6718,41.3323,52.2814,54.8856,2.6041
0.4,1.01,zero,648513,17.2929,77.6748,67.0048,-10.6699,66.0699,82.4893,80.3578,-2.1315
0.0,0.02,random,402046,98.5288,0.7350,0.9847,0.2497,4.8906,3.0705,2.6984,-0.3721
0.02,0.05,random,233174,97.7686,1.2463,1.9003,0.6540,6.2887,4.7184,4.5695,-0.1488
0.05,0.1,random,145515,96.1832,2.5365,3.8505,1.3140,9.2312,8.2424,8.5112,0.2687
0.1,0.2,random,93784,91.7374,6.5075,8.9674,2.4599,16.4672,17.3665,18.9339,1.5674
0.2,0.3,random,36495,82.0304,15.6021,18.7259,3.1237,29.7822,36.0323,37.8435,1.8112
0.3,0.4,random,22157,72.8438,25.6939,26.8628,1.1689,41.2836,52.2814,53.6896,1.4081
0.4,1.01,random,648513,18.2906,77.6748,65.8334,-11.8414,66.5581,82.4893,79.6729,-2.8164
