condition,total_tokens,valid_tokens,acc_normal,acc_variant,acc_normal_pct,acc_variant_pct,c2c,c2w,w2c,w2w,c2c_pct,c2w_pct,w2c_pct,w2w_pct,net_acc_delta_pct
zero,1582560,1581684,619201,578463,39.1482,36.5726,571970,47231,6493,955990,36.1621,2.9861,0.4105,60.4413,-2.5756
random,1582560,1581684,619201,561266,39.1482,35.4853,555149,64052,6117,956366,35.0986,4.0496,0.3867,60.4650,-3.6629
