bin_left,bin_right,count,gate_mean,gate_std,gate_p10,gate_p50,gate_p90,low_gate_frac,high_gate_frac
0.0,0.02,1892,0.415945,0.041355,0.364016,0.416079,0.470759,0.000000,0.000000
0.02,0.05,2162,0.415866,0.040287,0.363661,0.416215,0.467280,0.000000,0.000000
0.05,0.1,2736,0.416408,0.039949,0.364687,0.417327,0.467257,0.000000,0.000000
0.1,0.2,3653,0.415258,0.041563,0.361470,0.416399,0.468259,0.000000,0.000000
0.2,0.4,4295,0.417992,0.040615,0.364941,0.418248,0.468928,0.000000,0.000000
0.4,1.01,17875,0.419942,0.034394,0.380355,0.419938,0.463635,0.000000,0.000000
