bin_left,bin_right,condition,count,flip_rate,acc_norm_pct,acc_var_pct,delta_acc_pct,topk_overlap_mean,target_in_topk_norm_pct,target_in_topk_var_pct,delta_target_in_topk_pct
0.0,0.02,zero,387664,89.5649,0.7715,0.4519,-0.3196,23.8785,3.0395,2.3077,-0.7318
0.02,0.05,zero,232093,84.4735,1.1995,0.6592,-0.5403,27.2807,4.3771,3.0781,-1.2990
0.05,0.1,zero,145014,78.0304,2.4115,1.0558,-1.3557,31.2585,7.2359,4.9319,-2.3039
0.1,0.2,zero,89766,68.9493,6.4746,2.4631,-4.0115,38.0030,15.9960,10.6633,-5.3328
0.2,0.3,zero,32850,60.0548,17.4399,5.9635,-11.4764,48.0353,35.1903,24.0183,-11.1720
0.3,0.4,zero,19614,55.6286,29.9939,10.9667,-19.0272,56.0610,54.0736,38.2278,-15.8458
0.4,1.01,zero,674683,22.6444,79.3196,60.5723,-18.7473,75.1246,83.0159,76.1003,-6.9155
0.0,0.02,random,387664,89.4416,0.7715,0.4509,-0.3206,24.1274,3.0395,2.3242,-0.7153
0.02,0.05,random,232093,84.3102,1.1995,0.6661,-0.5334,27.5366,4.3771,3.0807,-1.2965
0.05,0.1,random,145014,77.7877,2.4115,1.0413,-1.3702,31.5114,7.2359,4.9071,-2.3287
0.1,0.2,random,89766,68.7209,6.4746,2.4118,-4.0628,38.1599,15.9960,10.5597,-5.4364
0.2,0.3,random,32850,59.7717,17.4399,5.9117,-11.5282,48.0591,35.1903,23.7230,-11.4673
0.3,0.4,random,19614,55.4706,29.9939,10.8749,-19.1190,55.9101,54.0736,37.8352,-16.2384
0.4,1.01,random,674683,22.9127,79.3196,60.2793,-19.0403,74.9337,83.0159,75.6539,-7.3620
