bin_left,bin_right,condition,count,flip_rate,acc_norm_pct,acc_var_pct,delta_acc_pct,topk_overlap_mean,target_in_topk_norm_pct,target_in_topk_var_pct,delta_target_in_topk_pct
0.0,0.02,zero,6393,96.0895,4.3172,1.6111,-2.7061,11.4594,15.6265,6.3663,-9.2601
0.02,0.05,zero,4583,94.9378,5.5422,2.1383,-3.4039,13.3275,18.4377,8.3788,-10.0589
0.05,0.1,zero,3639,92.1957,9.1509,3.5999,-5.5510,17.1476,23.3581,11.9264,-11.4317
0.1,0.2,zero,2836,89.1749,17.3484,5.8886,-11.4598,22.3272,34.3794,18.8293,-15.5501
0.2,0.3,zero,1373,83.2484,30.9541,9.9053,-21.0488,31.6096,51.5659,32.3379,-19.2280
0.3,0.4,zero,895,76.0894,49.8324,15.9777,-33.8547,38.2123,68.7151,49.8324,-18.8827
0.4,1.01,zero,12894,17.1087,94.3462,81.5728,-12.7734,60.4235,97.2545,92.7253,-4.5292
0.0,0.02,random,6393,96.1833,4.3172,1.6737,-2.6435,11.4688,15.6265,6.3663,-9.2601
0.02,0.05,random,4583,94.9815,5.5422,2.2474,-3.2948,13.3144,18.4377,8.1824,-10.2553
0.05,0.1,random,3639,92.5804,9.1509,3.0778,-6.0731,17.1641,23.3581,12.0088,-11.3493
0.1,0.2,random,2836,88.9633,17.3484,6.0296,-11.3188,22.2567,34.3794,18.9351,-15.4443
0.2,0.3,random,1373,83.2484,30.9541,9.9782,-20.9760,31.2454,51.5659,32.1923,-19.3736
0.3,0.4,random,895,76.5363,49.8324,15.5307,-34.3017,37.8547,68.7151,49.4972,-19.2179
0.4,1.01,random,12894,17.1398,94.3462,81.4798,-12.8664,60.3102,97.2545,92.5004,-4.7541
