file_id,speaker,utt,kind,material,layer_idx,module_path,stage,abs_mean,rms,temp_std,delta_rms
boy4_clean_001,boy4,001,clean,clean,0,encoder.model[0],stem,0.15440359711647034,0.32540085911750793,0.28024548292160034,0.06310629099607468
boy4_clean_001,boy4,001,clean,clean,1,encoder.model[1].block[1],residual,0.5361488461494446,1.1825321912765503,0.9087187647819519,0.2643662393093109
boy4_clean_001,boy4,001,clean,clean,2,encoder.model[1].block[3],residual,0.899782121181488,1.5632585287094116,1.4417483806610107,0.8539924025535583
boy4_clean_001,boy4,001,clean,clean,3,encoder.model[1].shortcut,residual,0.4864625036716461,0.9922683238983154,0.8788288235664368,0.18275192379951477
boy4_clean_001,boy4,001,clean,clean,4,encoder.model[3],downsample,3.2173428535461426,6.186842918395996,5.223316669464111,4.516631126403809
boy4_clean_001,boy4,001,clean,clean,5,encoder.model[4].block[1],residual,8.966591835021973,15.777071952819824,14.14799976348877,14.328810691833496
boy4_clean_001,boy4,001,clean,clean,6,encoder.model[4].block[3],residual,11.26688003540039,19.817813873291016,18.89579963684082,23.5018253326416
boy4_clean_001,boy4,001,clean,clean,7,encoder.model[4].shortcut,residual,2.7141854763031006,5.250515937805176,4.399816036224365,6.238743305206299
boy4_clean_001,boy4,001,clean,clean,8,encoder.model[6],downsample,19.19622802734375,35.43366241455078,32.35112762451172,49.284263610839844
boy4_clean_001,boy4,001,clean,clean,9,encoder.model[7].block[1],residual,25.31767463684082,48.36501693725586,43.19614791870117,68.15894317626953
boy4_clean_001,boy4,001,clean,clean,10,encoder.model[7].block[3],residual,10.947379112243652,26.172826766967773,18.816558837890625,33.48399353027344
boy4_clean_001,boy4,001,clean,clean,11,encoder.model[7].shortcut,residual,6.089942455291748,13.943461418151855,10.213701248168945,18.105772018432617
boy4_clean_001,boy4,001,clean,clean,12,encoder.model[9],downsample,8.844711303710938,18.13066864013672,12.567421913146973,20.100303649902344
boy4_clean_001,boy4,001,clean,clean,13,encoder.model[10].block[1],residual,7.834141254425049,16.52111053466797,10.840721130371094,15.834246635437012
boy4_clean_001,boy4,001,clean,clean,14,encoder.model[10].block[3],residual,2.105316162109375,5.037735462188721,2.7441723346710205,5.165825366973877
boy4_clean_001,boy4,001,clean,clean,15,encoder.model[10].shortcut,residual,3.00435209274292,12.894164085388184,2.861814498901367,4.601857662200928
boy4_clean_001,boy4,001,clean,clean,16,encoder.model[12],downsample,0.23785118758678436,0.5304263830184937,0.2799012362957001,0.5787740349769592
boy4_clean_001,boy4,001,clean,clean,17,encoder.model[15],projection,0.23529745638370514,0.29777151346206665,0.27124837040901184,0.32974472641944885
boy7_clean_001,boy7,001,clean,clean,0,encoder.model[0],stem,0.15132686495780945,0.3530166745185852,0.30513766407966614,0.06476713716983795
boy7_clean_001,boy7,001,clean,clean,1,encoder.model[1].block[1],residual,0.522132158279419,1.2430907487869263,0.9813515543937683,0.32222577929496765
boy7_clean_001,boy7,001,clean,clean,2,encoder.model[1].block[3],residual,0.8830233812332153,1.7011258602142334,1.6185462474822998,1.1783608198165894
boy7_clean_001,boy7,001,clean,clean,3,encoder.model[1].shortcut,residual,0.4759643077850342,1.0757513046264648,0.9543823003768921,0.17903566360473633
boy7_clean_001,boy7,001,clean,clean,4,encoder.model[3],downsample,3.1068429946899414,6.606924533843994,5.745543956756592,5.353600025177002
boy7_clean_001,boy7,001,clean,clean,5,encoder.model[4].block[1],residual,8.496209144592285,16.707183837890625,15.340842247009277,16.5019474029541
